icu_admission_year,field_name,median,percentile_25,percentile_75
2013,age,61.0,39.0,75.0
2014,age,62.0,38.0,75.0
2015,age,64.0,44.0,76.0
2016,age,65.0,44.0,76.0
2017,age,67.0,48.0,78.0
2018,age,68.0,49.0,78.0
2019,age,68.0,49.0,78.0
2020,age,69.0,50.5,79.0
2021,age,66.0,47.0,77.0
2022,age,69.0,48.0,79.0
2023,age,68.0,50.0,79.0
2024,age,69.0,48.0,80.0
2013,apache2,22.0,14.0,31.0
2014,apache2,22.0,14.0,30.0
2015,apache2,20.0,13.0,28.0
2016,apache2,20.0,13.0,27.0
2017,apache2,21.0,14.0,28.0
2018,apache2,21.0,14.0,28.0
2019,apache2,21.0,14.0,28.0
2020,apache2,21.0,15.0,28.0
2021,apache2,20.0,14.0,27.0
2022,apache2,19.0,13.0,27.0
2023,apache2,19.0,13.0,27.0
2024,apache2,22.0,15.0,30.0
